Speed,EncodedPolyLine
19.26,{yhxFbzfbMtA}FfDyT|@iGZ_F?_Fe@oSk@i]AkUFgF
0,yyhxFdzfbM_CvH{G`T{BjQcAxJaBrP_F~b@yAnNsAvMoDnZaApEk@bDUrBm@pF
55.92,}nnwFla_aM{GhBiBRwFNuDe@aEsAyB{AmJ_IsDqBaCy@yIsBwCe@mt@sJyHu@kCIwDP{CZwB`@gJrCaDnBgGfG}ClFsD~HyGnQeHlNmC~DyDxE{HvIwBxCmCvEqDjHmBtCyCdDsC`CgRpNyIrHwD~DcB`C
57.17,_u}wFhkjaMr@dI~A~HtA|EbEnKxBdHv@~Cv@jGRhCJ~G[pTm@lT}@nS[vB@p@]dHiAlPo@tEiA|Fu@nCoDvKiAhFa@`DSxCAbAFfAb@lB`AbBjBjA??xHfBpOnBzJ`A|Cn@pEfBz[|O|HzEtBdBrEjFjEjHhAzB
52.82,em}wFvekaMwByHaAwFy@kKMyFLaK`@uGv@wFrA{FxAiElBiEbBoCvBmCjE{DxFwEzGyFlM{MvE}CbJkDrKqEtIoFlG_GtLiOrCgD~DoB|H}C`IaBpGmBbG{DrDiEzBsD`B{EvAkGlCgL|A}EpCiFlE{ExFoFpD_D|JkHlEoDvEeEhDiE|BoDvDsH`DoF|CwDvEeFzCwEvA_Hw@aI}CiEiEwD{BgBeKiCqDwAwD{CcCyCuCsF_DeG}CoD
41.01,c_owFzf_aMvBK|FcApKuDzF_ArdAkB~j@}@hD?xCInK_AzKM??xCLhDr@
22.99,yvuwFlcaaMzC}EbD}DvDwDzC{D`DmEbCcEv@eBvJcXvF}KfEcGlCaC`DaBzHyBj@YbE{@bDO|D?vCP|QtBnl@bIzIrB~D~AtCjBrHtGrAz@pCrAbCp@vAR~DF
59.03,uk}wFtckaMfH}Kr@cAbAoAzAyAvCeCt@e@|EwBxBg@jR_CzTo@pMYfEi@jCk@de@}RbReIrLyEve@sJxMmDb[iL|CwApFkCfAuAPaDcBkKc@uD
52.82,cl}wFtbkaMfFiIdByBrD{DtAeAj@_@nA}@|BcAvBy@hBc@zDm@jBOrBY|C_@f@EpHk@|Is@????bIOrGa@xHcBvFyBtImDzHgDtBcAtCoApCgAbEqA~QuHxGqDbCUbCRjEcApEy@jGeAtEi@dBg@t@SdRyGzHwC|IcDbKuDdLeEnM}ExOwFzRsHnCoArGeEtOaQjGqMbCoJ|@{GDuIe@Sf
26.1,i{_xFzefbMyBvGUlACt@Rj@d@f@z@@`@W\g@bA_DTk@b@i@`@a@n@YhAKjGYp@M`DTtCf@|@\xBrA~@z@dBnD
8.7,slswFpdobMcJ{Fy@_@sBq@kKeBaDc@eB_@iBs@kC{AuBkAqDqC_EiEyCuCcDaCeT}PuJuIrAhAcE{CaEkDcEkFsEiD}FiEiHoFcAwA}BoD
14.91,w~mwFjisbMc@}HkCe^gBoZe@iQe@mJSaBYmA_A{BuBqCcCsAaFsBcGgCeGaCgDiAeEs@mJs@oHc@yCg@yDiB_J{EiFeCyDq@yE]gB?eALiA\eAz@yBdCuBbCcAl@}D`AeDl@kNvBaAF}AMeBc@
31.69,amswFheobMzAn@nBHdD]rE{@hGaAjEq@bAc@pAs@x@}@~AyBhBaBfB{@vBU~ADpBNnCXnB`@zCpAtEdCjE`CxBhAvAl@hC\pCPbDPlDPpDZ|B\|Cz@fA\XVbGzBpElBfIfDpAz@dBvBl@lAf@dC`@`EVtKXnIj@dKt@vN|@tL|AvSh@lH
13.05,iaxwF|tkbMhBnCtChChGpEjGxE~CvBxEnGlGhFrA|AfAp@hEdEbGtEpF~DzE|DvGhFlGhG~CxB|EjC~BfA`Dv@zMfBxAd@bChApBrA~DfC
6.21,w~mwFjisbMXnEXdCh@bCf@zAd@jA^r@
3.73,e_nwFnisbMf@fHn@zCr@lCzA|ChBfEdFfLzE|I`GlKfFxJpAbCl@zAb@hBdAhHd@zD
34.18,cnlwFhuvbMc@xE_@jB}AfCiCbBgCbAaDf@mBJe@?qA[wA_@aBe@y@c@eBi@
14.29,ue_wFbfwbMyBJyAX_Bp@oBhBiD|FmGxL_BzBuAbAoBv@mBNiBMiCaAuCcCuD_EmMiM{V{Wq~@_aAmb@wc@qB_BkDsA{BQkDN}FrBqX|NsFvC_FnCuAn@
44.12,oz{vFffybMuQuNmZsVsFyC}D}AeLmDeO_E{JkCaEg@
3.73,omgwFfhtbMeDnAaDbB_F|CqDzC_ARwAQqBy@qDuAmVoJkK}DsK_EcBc@yBAuBb@yBt@
49.09,_{{vFjgybMoQ}NwZwVwEkCmEeBgLiD{OuDwIcCkDa@
16.16,ud_wF|gwbMgCCwATcBr@_BvAqDhGmGtL{AxB}AlAsBt@uBViCYeCy@wBqAkCeCeOcP_WgXm~@aaAmb@yc@cBuAwCqAmCUoDPuFdBsX`OwFlCaFzC{BvA
44.74,{izvFxx{bMoMkl@_AiB_BaBqFkEwDgEkCeDcKiJ
44.12,kizvFrx{bMqMol@cAsByAcBsFkEoCgE}CqD_LeJ
31.07,axhxF~zfbMkCfHeHfTyBbQeAtJgBvPgExb@aBhN}AbNuD~Yq@|Da@`DQpCY|F
49.71,wtgxFhptaMgKsBkTyEkJw@uTy@aGqA}G{CcFyEmIcLuFyEid@a^oZeY
72.7,_ugxFlptaMlJj@bY[rKeAdKgBdOgDnR}A
0,kugxFzqtaMaKsBaTaFgJ_AwTy@iGkA{HwDgFuEeIwKuJiI_`@sZoZ{X
57.17,eugxFxqtaMnJp@`I?hU_AfIaAtVeFzHkArIs@
19.88,_tdxFhdtaMjCOxHMvGAxN\zU`A|AA
0,obmxF`gqaM}I_J}CkBgEsA{D_@aMW}FCaEm@yHoBsXqG}M{CwH{@qFMgFToG~@qJjBeErAuDr@sAPiDOcBa@iFwAsEoAyDe@uGMaCK{C_AiDcBkFsBcHaBsDe@_DK}BR}DbAyBv@sBHiB[wLwDi]wHgHyB}HcDiH{D_EeAeCo@{B{AwAcB{BsFkBwB{B}AaFwCiFoFaBoAwBc@iBKyCp@}B|AaCdCkAdCmBdFgBfDyCpB_DX
11.18,k_rwF|f|aMcBgGo@wCqK{g@uJ_d@wCuOuBuJ}D_TgAwKcA}G
11.81,shtwFxckbMTmJ_AiK?}BvAwNlBsNrCqJ`GoQjAcFl@mE~@oM~Eqe@xBgSl@eD|@mDbBiEbByCjIoLjB_DbAgC`AsDbAgFnBqKdCwO~@kEbBwErHiN~AmDz@_CdAsDbAqGz@sOxAe\ZwJCwF]eEc@qCaAyDkB{EiEkIk@_BgAoE}@kIw@gS]_Em@kD{ByI
41.01,_pswFfewaMtApJv@rIh@nDlFbXhH`]bJla@|@`FbHz\fBvG
24.85,c`rwF~g|aMbClIr@vDd@rIXjJZfFp@rFbA`Ed@rAdE`ItBnFtA|Ff@~EJhCAnDoCrq@YjEcA`GsA`FcB~DsIdPmBnFmAfGsAfJoFfYkB~EeMlQoA~BgAfCu@|BaA`EuEh_@{AtQcAtIaAnN[dCgAfFqJfZcAdE}ArMoA~KIrABjDT~EHzM
42.87,kztwFzogaMqFeOu@wC_DeQcFwXyAoF{CkIaAmDu@aEiDeTiAeL]iDg@mEqA{E_B_EeCgEgGsKiLmScIkNoH}N}AeEaAaEqC_KqAuDaCsE_EgHqByEaBiGw@kDi@wE
50.95,}uvwFlebaMkMcUcIkNoH}N}AeEaAaEqC_KqAuDaCsE_EgHqByEaBiGw@kDi@wE
27.96,iowwF~nsbMoObg@yH|VeY|}@
13.05,irwwFpssbMyLlb@wHzVmYv}@
14.91,knwwFlosbMcP`g@yHzVcY|}@
24.85,mkwwFvqsbMsQbh@oIlTmYp}@
52.2,u}hwFlv~`M{@a@oB{A_BiBkAgB??g@m@cBw@oAUcBLo@VmA`AoEtEcBfAoBj@U???wI\gD?_b@z@m`AjAyERaC\{DfAoDxA
49.71,w_iwFtv~`MbBp@bJbFbN`JlC~BhJtJfFrEdHvFtDhCnW~OtAp@nE~CfB`BjBvBlCxGXlALrB}@xXCby@KpDyBva@
37.9,cppxF`|_bMmDuFkBaEkCiIkAcGcBmKkAmEwAeDwAeCkB_CmB_CsDmDkZgY{EcCuDwA}GmAmEWs`@uDgP}AsEyA_CaBuBsBuCkD
16.78,qojxFpfdbMrN|LlO`NtTtQ~FtClClAv@Ar@k@XkAQsBsAqDgB}@aBx@k@bCZnC
11.81,kpjxFdfdbMfObMjObNtOjL`G`ErCzAlAVv@UXa@`@w@NeAKiA_@s@o@]UC
24.85,mizwFrndbM_HvKuC~C_PhLqWpQwKrHwBxAeBh@mBPoCKmBg@yBkAeRwOgFqDqGwFmDgDwE{DiJyHqDkCsGmE{DsCwCmByGoE}AcAmAo@
29.2,cv~vFpqpcMqI_@_JoA{Dk@mY}Ig^yKwL{DyCmA{]_UgDyC_BqCs@oCUuBGkCDqDf@wYSgI]sDsAgIaByGcFuM
24.85,gv~vF~rpcMhF@bE[bDWbD@vCb@|D~@dCf@`Cv@jCjA~CzAhDfCrDjDfJ~IhDhDxB~AlDlBdEdArDp@jC|BjGvEtBjArCC|BmAtA_Cj@gDXgI^mCnBkD`AiC
49.71,gv~vF~rpcMhF@bE[bDWbD@vCb@|D~@dCf@`Cv@jCjA~CzAhDfCrDjDfJ~IhDhDxB~AlDlBdEdArDp@jC|Bt@zBCjDeB~DgAzA
1.86,ixmxFjxsaMyPjBcKo@mJoDwKuJ{FkJkHkP_DcJiCoKcE_VgDsQ_BqNXcP
8.7,wcuwF|}nbMTkB?qAwAuRd@qEbBqKnMk]vB{Ir@_EtCwWLaF
19.88,qitwFzckbMDhDkEh]wB~ImM|\_DtRnApR]nDoCnI
32.93,_ucwFfokcM~FxO|BdKx@nHTzFw@vc@F~Dh@|BzAhDv@|@~`@dW`DtAbObFv]rKpUhHfFvAtMtBfH`@
14.91,wvzvFpegcMrAfeAc@vHiCtNSrOv@|HxGf_@|Db^lAp\
24.23,wvzvFnegcMGmJ~@kKpAoGxPki@~AyJbA}Kf@ac@`BeOzHgY
14.29,{q{vFrzrcMta@kl@hDiInBiIr@}F\mHOsR
19.26,ix|vFjbucMp@kD|Ncb@pP_ZzAsB
37.28,onyvFni~bMrAfG|@lEfApEjDlOt@nDV`EBdDM~CKlD_@hFa@`C}Il\
37.9,}myvFpi~bMvAjG`AnE`AlExDlPr@~CXxDFlFO`DYtBg@xE_@|BiIr\
24.85,egzvFt|mcMvA|u@
37.28,av~vFpqpcMxE?`EYzCUfD@|CZtDdAnCd@`Cz@rCdAzCzAvDlCzNlNfEfEbChBhD~AjJnBnVzDtA]|@cBD_Bq@qAaBD
47.22,m}{vFr{qcMdEbAtDh@vC]nEmBtOwGrCyC
13.05,ibyvFzyxcMeQsQmJwGiQcIid@qU{GmBsKgC{HyHuCsGcA{E_@mH\eCjCoLaCxK
47.22,sezvFtsocM_Bav@
19.88,_xzvF|fgcMEgIZcInAkIhBqG|FwQlFyQtA{F|@_JVqIRuXd@aIzAyKrByItDoM
32.93,ys{vFrzrcM{LzRuRdf@sAvEQv@[lB
32.93,iy|vFraucMk@bFo@tKcAnHy@tCsC|F}OrQkC`EkCjFuFfLsGbPgl@ptA
52.82,at{vFvzrcMbQsVlP{UjCkFbBsFxAkJ\{HKiS
6.21,ajzwFtmdbMmHhLyBbCkEhDiQrLsOjKcOjKcCx@_DJmC[{Am@}A_AsFyEsJkIgPkM{BiBuDiDkFiF{DsCuDaCqC_BqEuDeUwOcAkA
21.75,{izwF|mdbMqHjLwB~BmEhDgQpLqOnKgOjK_Cv@eDNmCY_Bo@eBiAmFsEyJkIcPmM_D}DcAkAiG}HsBwB{CqDcAg@_AFi@Ve@|@]hBMjBs@zD_AnDgD`KcDhKeEpMs@vAqAlB{AnE
